Left Label Value	Right Label Value	abbreviation	structure	Matter Type {Gray,White,Ventricular}	region
2	2	cc	Corpus Callosum/External Capsule	W	Fibre Tract
3	3	LV	Lateral Ventricle	V	Ventricular
4	4	3V	Third Ventricle	V	Ventricular
5	5	Aq	Aqueduct	V	Ventricular
6	6	4V	Fourth Ventricle	V	Ventricular
7	7	arb	Cerebellar White Matter/Arbor Vitae of Cerebellum 	W	Cerebellar
8	9	ant. ac	Anterior Part of Anterior Commissure	W	Fibre Tract
10	12	pos. ac	Posterior Part of Anterior Commissure	W	Fibre Tract
14	15	cg	Cingulum	W	Fibre Tract
16	17	Pfl	Paraflocculus	G	Cerebellar 
20	20	lobule 1/2	Cerebellar Lobule 1/2	G	Cerebellar
21	21	lobule 3	Cerebellar Lobule 3	G	Cerebellar
25	25	lobule 4/5	Cerebellar Lobule 4/5	G	Cerebellar
26	26	lobule 6	Cerebellar Lobule 6	G	Cerebellar
27	27	lobule 7	Cerebellar Lobule 7	G	Cerebellar
28	28	lobule 8	Cerebellar Lobule 8	G	Cerebellar
29	29	lobule 9	Cerebellar Lobule 9	G	Cerebellar
31	31	lobule 10	Cerebellar Lobule 10	G	Cerebellar
33	34	Sim	Simple Lobule 	G	Cerebellar
37	38	Crus2	Crus 2 Ansiform Lobule	G	Cerebellar
39	40	Crus1	Crus 1 Ansiform Lobule	G	Cerebellar
41	248	OB	Olfactory Nuclei	G	Olfactory
43	44	int. ac.	Intrabulbar Part of Anterior Commissure 	W	Olfactory
45	46	ic	Internal Capsule	W	Fibre Tract
47	48	NAc	Nucleus Accumbens	G	Forebrain
50	51	CPu	Caudoputamen	G	Forebrain
54	54	och	Optic Chiasm	W	Midbrain
55	56	opt	Optic Tract	W	Fibre Tract
57	58	st	Stria Terminalis	W	Fibre Tract
70	71	mt	Mammillothalamic Tract	W	Midbrain
72	73	f	Fornix	W	Fibre Tract
74	75	fr	Fasciculus Retroflexus	W	Fibre Tract
78	79	BN st	Bed Nucleus of the Stria Terminalis	G	Forebrain
80	81	GP	Globus Pallidus	G	Forebrain
83	84	fi	Fimbria	W	Hippocampal
85	85	SFO	Subfornical Organ	G	Midbrain
90	90	MnPO	Median Preoptic Nucleus	G	Forebrain
91	92	sm	Stria Medullaris of the Thalamus	W	Midbrain
95	96	cor	Cortex	G	Cortical
109	110	lo	Lateral Olfactory Tract	W	Olfactory
147	148	EP	Entopeduncular Nucleus	G	Midbrain
151	152	eml	External Medullary Lamina	W	Fibre Tract
156	242	Th	Thalamus	G	Midbrain
157	157	PAG	Periaqueductal Grey	G	Midbrain
158	159	4n	Trochlear Nerve 	W	Nerve
160	160	pc	Posterior Commissure	W	Fibre Tract
161	161	csc	Commissure of the Superior Collicuus	W	Midbrain
170	171	SC	Superior Colliculus	G	Midbrain
172	173	IC	Inferior Colliculus	G	Midbrain
174	174	cic	Commissure of the Inferior Colliculus	W	Midbrain
176	177	fl	Flocculus	G	Cerebellar
189	189	hind	Hindbrain	G	Hindbrain
190	192	PM	Paramedian Lobule	G	Cerebellar
193	194	Fs	Fastigial Nucleus	G	Cerebellar
195	196	is	Interposed Nucleus	G	Cerebellar
197	198	dent	Dentate Nucleus	G	Cerebellar
199	201	cop	Copula	G	Cerebellar
202	203	coch	Cochlear Nucleus	G	Hindbrain
207	207	Pn	Pons	G	Midbrain
208	208	mid	Midbrain	G	Midbrain
210	211	hyp	Hypothalamus	G	Midbrain
216	217	CA1	Hippocampal CA Subfields	G	Hippocampal Formation
218	219	str	Superior Thalamic Radiation	W	Fibre Tract
223	224	SNR	Substantia Nigra	G	Hippocampal
225	226	Cpu	Cerebral Peduncle	W	Hindbrain
227	228	MS	Medial Septum	G	Forebrain
229	230	LSC	Lateral Septum	G	Forebrain
231	232	DG	Dentate Gyrus	G	Hippocampal Formation
241	245	vp	Ventral Pallidum 	G	Forebrain
243	243	bas	Basal Forebrain	G	Forebrain
246	246	MB	Mammillary bodies	G	Midbrain